"id","firstName","lastName","fullName","displayName","shortName","weight","displayWeight","height","displayHeight","age","dateOfBirth","experience","jersey","active"
"14856","Isaako","Aaitui","Isaako Aaitui","Isaako Aaitui","I. Aaitui",307,"307 lbs",76,"6' 4""",37,"1987-01-25T08:00Z",2,"71",FALSE
"3058033","Manny","Abad","Manny Abad","Manny Abad","M. Abad",184,"184 lbs",71,"5' 11""",30,"1993-11-23T08:00Z",NA,"38",FALSE
"4429202","Israel","Abanikanda","Israel Abanikanda","Israel Abanikanda","I. Abanikanda",216,"216 lbs",70,"5' 10""",22,"2002-10-05T07:00Z",2,"25",TRUE
"16836","Jared","Abbrederis","Jared Abbrederis","Jared Abbrederis","J. Abbrederis",195,"195 lbs",73,"6' 1""",33,"1990-12-17T08:00Z",4,"10",FALSE
"2576467","Mehdi","Abdesmad","Mehdi Abdesmad","Mehdi Abdesmad","M. Abdesmad",284,"284 lbs",78,"6' 6""",33,"1991-09-28T07:00Z",1,"78",FALSE
"14466","Isa","Abdul-Quddus","Isa Abdul-Quddus","Isa Abdul-Quddus","I. Abdul-Quddus",196,"196 lbs",73,"6' 1""",35,"1989-08-03T07:00Z",6,"24",FALSE
"2576336","Ameer","Abdullah","Ameer Abdullah","Ameer Abdullah","A. Abdullah",203,"203 lbs",69,"5' 9""",31,"1993-06-13T07:00Z",10,"8",TRUE
"8645","Hamza","Abdullah","Hamza Abdullah","Hamza Abdullah","H. Abdullah",216,"216 lbs",74,"6' 2""",41,"1983-08-20T07:00Z",7,"23",FALSE
"11910","Husain","Abdullah","Husain Abdullah","Husain Abdullah","H. Abdullah",204,"204 lbs",72,"6' 0""",39,"1985-07-27T07:00Z",7,"39",FALSE
"4594","Khalid","Abdullah","Khalid Abdullah","Khalid Abdullah","K. Abdullah",227,"227 lbs",74,"6' 2""",45,"1979-03-06T08:00Z",2,"53",FALSE
"3049325","Khalid","Abdullah","Khalid Abdullah","Khalid Abdullah","K. Abdullah",220,"220 lbs",70,"5' 10""",29,"1995-05-14T07:00Z",NA,"31",FALSE
"1703","Rabih","Abdullah","Rabih Abdullah","Rabih Abdullah","R. Abdullah",235,"235 lbs",72,"6' 0""",49,"1975-04-27T07:00Z",7,"27",FALSE
"1797","Rahim","Abdullah","Rahim Abdullah","Rahim Abdullah","R. Abdullah",233,"233 lbs",77,"6' 5""",48,"1976-03-22T08:00Z",2,"53",FALSE
"3998258","Rahim","Abdullah","Rahim Abdullah","Rahim Abdullah","R. Abdullah",233,"233 lbs",77,"6' 5""",48,"1976-03-22T08:00Z",NA,NA,FALSE
"4360807","Yasir","Abdullah","Yasir Abdullah","Yasir Abdullah","Y. Abdullah",234,"234 lbs",73,"6' 1""",24,"2000-04-12T07:00Z",2,"56",TRUE
"3915373","Micah","Abernathy","Micah Abernathy","Micah Abernathy","M. Abernathy",195,"195 lbs",72,"6' 0""",27,"1997-02-10T08:00Z",2,"29",FALSE
"10501","Victor","Abiamiri","Victor Abiamiri","Victor Abiamiri","V. Abiamiri",267,"267 lbs",76,"6' 4""",38,"1986-01-14T08:00Z",5,"95",FALSE
"15972","Oday","Aboushi","Oday Aboushi","Oday Aboushi","O. Aboushi",308,"308 lbs",77,"6' 5""",33,"1991-06-05T07:00Z",10,"63",FALSE
"7903","Clifton","Abraham","Clifton Abraham","Clifton Abraham","C. Abraham",185,"185 lbs",69,"5' 9""",52,"1971-12-09T08:00Z",3,"24",FALSE
"1027","Donnie","Abraham","Donnie Abraham","Donnie Abraham","D. Abraham",192,"192 lbs",70,"5' 10""",51,"1973-10-08T07:00Z",9,"29",FALSE
"2144","John","Abraham","John Abraham","John Abraham","J. Abraham",263,"263 lbs",76,"6' 4""",46,"1978-05-06T07:00Z",15,"55",FALSE
"4427563","Micah","Abraham","Micah Abraham","Micah Abraham","M. Abraham",185,"185 lbs",71,"5' 11""",23,"2000-12-11T08:00Z",NA,"40",FALSE
